253,INTA - Mercedes,-34.64131,-59.47547,"Calle 26 s/nº. Mercedes - Buenos Aires - Argentina";
254,INTA - 9 de Julio,-35.46067,-60.9494,"9 de Julio";
255,INTA - Parana,-31.72661,-60.51311,"Paraná";
256,INTA - San Gustavo,-30.66667,-59.38333,"San Gustavo";
257,INTA - Alpachiri,-37.36666,-63.76667,"Depto de Guatraché, Alpachiri";
258,INTA - Victorica,-36.21617,-65.43235,"Depto de Loventué, Victorica";
259,INTA - Villa Elisa,-32.16667,-58.4,"Depto de Colón, Villa Elisa";
260,INTA - General Galarza,-32.72048,-59.3945,"Depto de Gualeguay, Gral. Galarza";
261,INTA - Intendente Alvear,-35.23651,-63.59083,"Depto de Chapaleufú, Int. Alvear";
262,INTA - General Acha,-37.38333,-64.6,"Depto de Utracán";
263,INTA - Delta,-34.175,-58.86333,"Depto de Campana";
264,INTA - San Pedro,-33.77458,-59.75189,"Depto de San Pedro";
265,INTA - Pergamino,-33.88814,-60.56933,"Depto de pergamino";
267,UNLZ - Fac. Cs. Agrarias,-34.78,-58.46,"Ruta Prov. Nº 4, km 2, Lavallol. CP:1836";
268,INTA - Gral. Roca,-39.02567,-67.73698,"Rta. Nac. 22 km1190 - Allen - Río NegroCP: 8330";
269,INTA - Bariloche,-41.12368,-71.25125,"Modesta Victoria 4450  CD: 8400";
